;Код ОВД     ;Год         ;Номер документа      ;Номер престу;Дата пос тановки  в ИЦ     ;Текст решения                                                                                                                                      ;Дата решения            ;Фамилия сл-ля                                            ;Шифр докумен;Дата соз дания за писи     ;Код принятого решения      ;Кто приня л решение (код)     
987;1;2014;1301701;1;29.02.2016;Возобн.приост.ст208ч.1п.1                         ;26.02.2016;ЧЕРЕПАНОВА          ;3;02.03.2016;174;5
988;1;2014;1302101;1;21.01.2016;Возобн.приост.ст208ч.1п.1                         ;20.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
989;1;2014;1302401;1;06.04.2016;Возобн.приост.ст208ч.1п.1                         ;03.04.2016;ОСИПОВА             ;3;07.04.2016;174;5
990;1;2014;1304901;1;06.04.2016;Возобн.приост.ст208ч.1п.1                         ;03.04.2016;ОСИПОВА             ;3;07.04.2016;174;5
991;1;2014;1305201;1;06.04.2016;Возобн.приост.ст208ч.1п.1                         ;03.04.2016;ОСИПОВА             ;3;07.04.2016;174;5
992;1;2014;1305501;1;21.01.2016;Возобн.приост.ст208ч.1п.1                         ;20.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
993;1;2014;1305601;1;21.01.2016;Возобн.приост.ст208ч.1п.1                         ;20.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
994;1;2014;1305901;1;21.01.2016;Возобн.приост.ст208ч.1п.1                         ;20.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
995;1;2014;1307701;1;06.04.2016;Возобн.приост.ст208ч.1п.1                         ;03.04.2016;ОСИПОВА             ;3;07.04.2016;174;5
996;1;2014;1307801;1;29.02.2016;Возобн.приост.ст208ч.1п.1                         ;26.02.2016;ЧЕРЕПАНОВА          ;3;02.03.2016;174;5
997;1;2014;1308001;1;20.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;23.05.2016;174;5
998;1;2014;1308701;1;20.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;23.05.2016;174;5
999;1;2014;1309101;1;28.01.2016;Возобн.приост.ст208ч.1п.1                         ;25.01.2016;ЧЕРЕПАНОВА          ;3;28.01.2016;174;5
1000;1;2014;1309201;1;20.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;23.05.2016;174;5
1001;1;2014;1309301;1;06.04.2016;Возобн.приост.ст208ч.1п.1                         ;03.04.2016;ОСИПОВА             ;3;07.04.2016;174;5
