========================================================================================
РЕЕСТР УГОЛОВНЫХ ДЕЛ С ПОВТОРНЫМИ ОТМЕНАМИ И ВОЗОБНОВЛЕНИЯМИ (ВОЗОБНОВЛЕНИЙ > 1)
Дата формирования: 13.09.2026, 01:11:55
Всего дел в исходной базе: 6898
Всего дел с повторными возобновлениями: 2076
========================================================================================

[  86] ОВД: 4   | Дело №: 285704   | Возобновлений: [ 6] | Первая строка: 4482  | Даты: 07.04.2016, 07.07.2016, 01.06.2016, 14.07.2016, 26.07.2016
[  87] ОВД: 4   | Дело №: 212804   | Возобновлений: [ 6] | Первая строка: 4868  | Даты: 05.05.2016, 10.03.2016, 11.03.2016
[  88] ОВД: 4   | Дело №: 312704   | Возобновлений: [ 6] | Первая строка: 5139  | Даты: 26.07.2016, 16.06.2016, 07.07.2016, 14.07.2016, 23.06.2016, 04.06.2016
[  89] ОВД: 4   | Дело №: 325904   | Возобновлений: [ 6] | Первая строка: 5185  | Даты: 23.06.2016, 07.07.2016, 20.06.2016, 26.07.2016, 01.06.2016
[  90] ОВД: 4   | Дело №: 326004   | Возобновлений: [ 6] | Первая строка: 5191  | Даты: 20.06.2016, 23.06.2016, 07.07.2016, 26.07.2016, 01.06.2016
[  91] ОВД: 7   | Дело №: 161207   | Возобновлений: [ 6] | Первая строка: 5461  | Даты: 23.05.2016, 22.04.2016, 24.02.2016, 23.06.2016, 21.03.2016
[  92] ОВД: 8   | Дело №: 142708   | Возобновлений: [ 6] | Первая строка: 5547  | Даты: 04.02.2016
[  93] ОВД: 14  | Дело №: 110514   | Возобновлений: [ 6] | Первая строка: 6317  | Даты: 22.01.2016
[  94] ОВД: 17  | Дело №: 110317   | Возобновлений: [ 6] | Первая строка: 6470  | Даты: 29.07.2016, 09.03.2016
[  95] ОВД: 18  | Дело №: 133118   | Возобновлений: [ 6] | Первая строка: 6550  | Даты: 25.03.2016
[  96] ОВД: 18  | Дело №: 144118   | Возобновлений: [ 6] | Первая строка: 6588  | Даты: 30.06.2016
[  97] ОВД: 20  | Дело №: 142820   | Возобновлений: [ 6] | Первая строка: 6851  | Даты: 26.01.2016, 04.06.2016
[  98] ОВД: 20  | Дело №: 152520   | Возобновлений: [ 6] | Первая строка: 6917  | Даты: 16.06.2016, 27.04.2016, 10.05.2016
[  99] ОВД: 22  | Дело №: 138822   | Возобновлений: [ 6] | Первая строка: 7137  | Даты: 22.06.2016
[ 100] ОВД: 24  | Дело №: 112324   | Возобновлений: [ 6] | Первая строка: 7251  | Даты: 17.06.2016, 25.07.2016, 17.02.2016
[ 101] ОВД: 26  | Дело №: 140426   | Возобновлений: [ 6] | Первая строка: 7442  | Даты: 12.01.2016, 17.05.2016, 15.01.2016
[ 102] ОВД: 31  | Дело №: 154331   | Возобновлений: [ 6] | Первая строка: 7998  | Даты: 03.07.2016, 01.07.2016
[ 103] ОВД: 31  | Дело №: 202931   | Возобновлений: [ 6] | Первая строка: 8184  | Даты: 11.07.2016
[ 104] ОВД: 31  | Дело №: 208531   | Возобновлений: [ 6] | Первая строка: 8196  | Даты: 11.07.2016
[ 105] ОВД: 32  | Дело №: 174832   | Возобновлений: [ 6] | Первая строка: 8407  | Даты: 14.02.2016
[ 106] ОВД: 35  | Дело №: 56984    | Возобновлений: [ 6] | Первая строка: 8794  | Даты: 26.07.2016, 01.07.2016
[ 107] ОВД: 35  | Дело №: 145935   | Возобновлений: [ 6] | Первая строка: 8806  | Даты: 01.06.2016, 19.05.2016
[ 108] ОВД: 35  | Дело №: 150035   | Возобновлений: [ 6] | Первая строка: 8963  | Даты: 18.04.2016, 30.07.2016, 01.04.2016
[ 109] ОВД: 35  | Дело №: 187635   | Возобновлений: [ 6] | Первая строка: 9010  | Даты: 15.06.2016, 15.03.2016, 29.01.2016
[ 110] ОВД: 36  | Дело №: 213436   | Возобновлений: [ 6] | Первая строка: 9527  | Даты: 09.03.2016
[ 111] ОВД: 36  | Дело №: 217536   | Возобновлений: [ 6] | Первая строка: 9537  | Даты: 05.03.2016, 24.02.2016
[ 112] ОВД: 36  | Дело №: 219336   | Возобновлений: [ 6] | Первая строка: 9544  | Даты: 01.03.2016
[ 113] ОВД: 36  | Дело №: 220736   | Возобновлений: [ 6] | Первая строка: 9553  | Даты: 24.02.2016
[ 114] ОВД: 36  | Дело №: 237036   | Возобновлений: [ 6] | Первая строка: 9619  | Даты: 21.04.2016, 10.03.2016, 11.01.2016
[ 115] ОВД: 36  | Дело №: 238336   | Возобновлений: [ 6] | Первая строка: 9638  | Даты: 24.02.2016
[ 116] ОВД: 36  | Дело №: 238636   | Возобновлений: [ 6] | Первая строка: 9644  | Даты: 19.01.2016, 22.03.2016
[ 117] ОВД: 36  | Дело №: 243336   | Возобновлений: [ 6] | Первая строка: 9681  | Даты: 16.02.2016, 01.04.2016, 10.02.2016
[ 118] ОВД: 36  | Дело №: 247436   | Возобновлений: [ 6] | Первая строка: 9735  | Даты: 07.02.2016, 29.02.2016, 14.04.2016
[ 119] ОВД: 37  | Дело №: 225437   | Возобновлений: [ 6] | Первая строка: 10324 | Даты: 28.04.2016, 23.06.2016
[ 120] ОВД: 37  | Дело №: 308737   | Возобновлений: [ 6] | Первая строка: 10455 | Даты: 24.06.2016, 24.05.2016, 25.03.2016
[ 121] ОВД: 1   | Дело №: 19190    | Возобновлений: [ 5] | Первая строка: 1267  | Даты: 02.02.2016
[ 122] ОВД: 1   | Дело №: 257001   | Возобновлений: [ 5] | Первая строка: 1336  | Даты: 29.02.2016
[ 123] ОВД: 1   | Дело №: 445501   | Возобновлений: [ 5] | Первая строка: 1912  | Даты: 20.04.2016
[ 124] ОВД: 2   | Дело №: 210702   | Возобновлений: [ 5] | Первая строка: 2557  | Даты: 27.05.2016, 29.04.2016
[ 125] ОВД: 2   | Дело №: 306602   | Возобновлений: [ 5] | Первая строка: 2705  | Даты: 15.01.2016
[ 126] ОВД: 2   | Дело №: 336002   | Возобновлений: [ 5] | Первая строка: 2886  | Даты: 16.05.2016, 28.06.2016, 22.03.2016
